Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z
17:16:52:3366,1,0,0,0,0,0
17:16:52:3376,1,0,0,0,0,0
17:16:52:3386,1,0,0,0,0,0
17:16:52:3396,1,0,0,0,0,0
17:16:52:3406,1,0,0,0,0,0
17:16:52:3416,1,0,0,0,0,0
17:16:52:3426,1,0,0,0,0,0
17:16:52:3436,1,0,0,0,0,0
17:16:52:3446,1,0,0,0,0,0
17:16:52:3456,1,0,0,0,0,0
17:16:52:3466,1,0,0,0,0,0
17:16:52:3476,1,0,0,0,0,0
17:16:52:3486,1,0,0,0,0,0
17:16:52:3496,1,0,0,0,0,0
17:16:52:3506,1,0,0,0,0,0
17:16:52:3516,1,0,0,0,0,0
17:16:52:3526,1,0,0,0,0,0
17:16:52:3536,1,0,0,0,0,0
17:16:52:3546,1,0,0,0,0,0
17:16:52:3556,1,0,0,0,0,0
17:16:52:3566,1,0,0,0,0,0
17:16:52:3576,1,0,0,0,0,0
17:16:52:3586,1,0,0,0,0,0
17:16:52:3596,1,0,0,0,0,0
17:16:52:3606,1,0,0,0,0,0
17:16:52:3616,1,0,0,0,0,0
17:16:52:3626,1,0,0,0,0,0
17:16:52:3636,1,0,0,0,0,0
17:16:52:3646,1,0,0,0,0,0
17:16:52:3656,1,0,0,0,0,0
17:16:52:3666,1,0,0,0,0,0
17:16:52:3676,1,0,0,0,0,0
17:16:52:3686,1,0,0,0,0,0
17:16:52:3696,1,0,0,0,0,0
17:16:52:3706,1,0,0,0,0,0
17:16:52:3716,1,0,0,0,0,0
17:16:52:3726,1,0,0,0,0,0
17:16:52:3736,1,0,0,0,0,0
17:16:52:3746,1,0,0,0,0,0
17:16:52:3756,1,0,0,0,0,0
17:16:52:3766,1,0,0,0,0,0
17:16:52:3776,1,0,0,0,0,0
17:16:52:3786,1,0,0,0,0,0
17:16:52:3796,1,0,0,0,0,0
17:16:52:3806,1,0,0,0,0,0
17:16:52:3816,1,0,0,0,0,0
17:16:52:3826,1,0,0,0,0,0
17:16:52:3836,1,0,0,0,0,0
17:16:52:3846,1,0,0,0,0,0
17:16:52:3856,1,0,0,0,0,0
17:16:52:3866,1,0,0,0,0,0
17:16:52:3876,1,0,0,0,0,0
17:16:52:3886,1,0,0,0,0,0
17:16:52:3896,1,0,0,0,0,0
17:16:52:3906,1,0,0,0,0,0
17:16:52:3916,1,0,0,0,0,0
17:16:52:3926,1,0,0,0,0,0
17:16:52:3936,1,0,0,0,0,0
17:16:52:3946,1,0,0,0,0,0
17:16:52:3956,1,0,0,0,0,0
17:16:52:3966,1,0,0,0,0,0
17:16:52:3976,1,0,0,0,0,0
17:16:52:3986,1,0,0,0,0,0
17:16:52:3996,1,0,0,0,0,0
17:16:52:4006,1,0,0,0,0,0
17:16:52:4016,1,0,0,0,0,0
17:16:52:4026,1,0,0,0,0,0
17:16:52:4036,1,0,0,0,0,0
17:16:52:4046,1,0,0,0,0,0
17:16:52:4056,1,0,0,0,0,0
17:16:52:4066,1,0,0,0,0,0
17:16:52:4076,1,0,0,0,0,0
17:16:52:4086,1,0,0,0,0,0
17:16:52:4096,1,0,0,0,0,0
17:16:52:4106,1,0,0,0,0,0
